iter	Passed	Remaining
401	14234	21174
402	14266	21134
403	14298	21094
404	14340	21067
405	14381	21041
406	14419	21008
407	14469	20995
408	14506	20961
409	14539	20922
410	14568	20878
411	14599	20836
412	14631	20796
413	14663	20755
414	14696	20717
415	14729	20678
416	14767	20645
417	14800	20607
418	14837	20574
419	14866	20530
420	14897	20488
421	14929	20448
422	14961	20407
423	14992	20366
424	15024	20326
425	15055	20285
426	15101	20265
427	15140	20234
428	15176	20200
429	15213	20166
430	15248	20131
431	15289	20102
432	15324	20066
433	15356	20027
434	15394	19995
435	15428	19957
436	15462	19921
437	15495	19882
438	15525	19840
439	15559	19802
440	15589	19760
441	15622	19722
442	15654	19683
443	15684	19641
444	15716	19601
445	15744	19556
446	15777	19518
447	15808	19478
448	15849	19449
449	15887	19417
450	15920	19380
451	15961	19351
452	15998	19318
453	16031	19280
454	16064	19242
455	16095	19201
456	16127	19162
457	16156	19119
458	16188	19080
459	16226	19048
460	16269	19021
461	16309	18992
462	16345	18957
463	16391	18935
464	16431	18905
465	16476	18880
466	16515	18849
467	16560	18825
468	16609	18805
469	16647	18772
470	16675	18729
471	16706	18688
472	16732	18643
473	16765	18604
474	16795	18563
475	16830	18527
476	16862	18488
477	16892	18447
478	16929	18413
479	16970	18384
480	17002	18345
481	17034	18306
482	17067	18268
483	17110	18241
484	17141	18202
485	17174	18163
486	17203	18121
487	17235	18083
488	17276	18053
489	17310	18016
490	17348	17984
491	17385	17951
492	17416	17911
493	17445	17869
494	17477	17830
495	17508	17791
496	17541	17752
497	17572	17713
498	17606	17676
499	17638	17638
500	17670	17600
501	17700	17559
502	17731	17520
503	17763	17481
504	17794	17442
505	17824	17401
506	17854	17361
507	17885	17322
508	17938	17304
509	17975	17270
510	18015	17239
511	18045	17199
512	18086	17169
513	18125	17137
514	18158	17100
515	18191	17063
516	18222	17024
517	18253	16985
518	18286	16947
519	18316	16907
520	18349	16870
521	18381	16831
522	18415	16795
523	18446	16757
524	18477	16717
525	18509	16679
526	18541	16641
527	18574	16604
528	18608	16567
529	18639	16528
530	18670	16490
531	18704	16454
532	18736	16416
533	18766	16376
534	18803	16343
535	18843	16312
536	18878	16276
537	18917	16245
538	18955	16212
539	18990	16176
540	19022	16139
541	19054	16101
542	19086	16063
543	19128	16034
544	19158	15994
545	19190	15957
546	19224	15920
547	19252	15879
548	19283	15841
549	19315	15803
550	19346	15764
551	19377	15726
552	19409	15689
553	19441	15651
554	19472	15613
555	19503	15574
556	19535	15537
557	19572	15504
558	19608	15469
559	19644	15434
560	19674	15396
561	19705	15357
562	19737	15319
563	19767	15280
564	19799	15244
565	19829	15205
566	19858	15165
567	19890	15128
568	19932	15097
569	19968	15064
570	20000	15026
571	20038	14993
572	20091	14972
573	20125	14936
574	20158	14899
575	20189	14862
576	20218	14821
577	20249	14784
578	20279	14745
579	20319	14714
580	20357	14680
581	20387	14642
582	20422	14607
583	20448	14565
584	20480	14529
585	20510	14490
586	20544	14454
587	20573	14415
588	20606	14378
589	20638	14341
590	20670	14304
591	20702	14267
592	20734	14231
593	20768	14195
594	20802	14159
595	20835	14123
596	20865	14085
597	20902	14051
598	20942	14019
599	20974	13982
600	21005	13945
601	21039	13910
602	21079	13878
603	21126	13851
604	21156	13813
605	21184	13773
606	21220	13739
607	21269	13713
608	21297	13673
609	21329	13636
610	21364	13601
611	21395	13564
612	21426	13526
613	21458	13489
614	21488	13452
